recording_id,participant_id,level_name,window_s,src_quad,prev_quad,dst_quad,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07512500137090683,0.12357990443706512,-0.6010904312133789,0.5308191776275635,0.43155437707901
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09998899698257446,1.0074166059494019,-0.8949248790740967,-0.4222058355808258,0.10500973463058472
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10512500256299973,0.758271336555481,0.08888398110866547,0.30669456720352173,0.31400641798973083
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08511199802160263,0.2499285191297531,0.2306547611951828,0.49382835626602173,0.4796724021434784
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07512500137090683,0.07094775140285492,-0.4508613646030426,0.504737377166748,0.40956833958625793
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_2,5.0,0,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1251250058412552,0.23594462871551514,0.9554324150085449,0.3325742483139038,0.4824182093143463
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_2,5.0,2,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08012499660253525,0.08248346298933029,0.12736521661281586,0.4085423946380615,0.5145485997200012
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_2,5.0,0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10012499988079071,0.08950445055961609,-0.16502301394939423,0.48628556728363037,0.47019723057746887
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,5.0,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07011900097131729,0.3701789975166321,0.7748416662216187,0.34551969170570374,0.5949070453643799
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,5.0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1652500033378601,0.27667534351348877,-0.6034904718399048,0.2571420669555664,0.33272647857666016
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08999300003051758,0.010574901476502419,0.13420110940933228,0.2667909562587738,0.3370540142059326
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0801360011100769,0.16101686656475067,0.10466325283050537,0.419181764125824,0.3890489935874939
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,5.0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10512500256299973,0.06295308470726013,-0.07393977046012878,0.480444073677063,0.37455686926841736
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,5.0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15512999892234802,0.04128069058060646,0.26217567920684814,0.5084962844848633,0.4048416316509247
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34037500619888306,0.24904337525367737,-0.5122025609016418,0.5889297723770142,0.4315594434738159
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24025000631809235,0.3101300299167633,-0.8269431591033936,0.32351619005203247,0.2711341977119446
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1902499943971634,0.18871240317821503,0.589138388633728,0.27135783433914185,0.45249536633491516
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29037898778915405,0.07693801075220108,-0.5410984754562378,0.2614516019821167,0.3761977553367615
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3553819954395294,0.13439519703388214,-0.0817549005150795,0.3914382755756378,0.34205788373947144
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21512000262737274,0.053459152579307556,-0.5961166024208069,0.37553998827934265,0.29101744294166565
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35524898767471313,0.12214016914367676,0.21588443219661713,0.4706493318080902,0.36764925718307495
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15512000024318695,0.06451936811208725,-0.17901268601417542,0.5252318382263184,0.33324718475341797
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8257520198822021,0.1042005866765976,0.14434951543807983,0.6189002990722656,0.3788977861404419
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.30537500977516174,0.09370741993188858,-0.26620644330978394,0.6817033886909485,0.3093503415584564
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,3,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33037498593330383,0.13373251259326935,0.4628793001174927,0.5093761682510376,0.5470678210258484
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.310373991727829,0.2875659763813019,-0.6963659524917603,0.3430161476135254,0.3125075399875641
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2502500116825104,0.08528164029121399,0.07150086760520935,0.42615529894828796,0.33150336146354675
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18513299524784088,0.04769222438335419,-0.30999109148979187,0.4529634118080139,0.2920587956905365
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16512499749660492,0.12680959701538086,-0.5730593204498291,0.42411258816719055,0.16857478022575378
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4805000126361847,0.2527148425579071,0.0876234620809555,0.6673126816749573,0.23726613819599152
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6056249737739563,0.046892546117305756,0.7538810968399048,0.6337528228759766,0.27001744508743286
2025-09-26_19-10-19-05411873,05411873,waldo_3,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12512099742889404,0.031583335250616074,0.03502700850367546,0.6327294111251831,0.27318286895751953
2025-09-26_19-10-19-05411873,05411873,waldo_3,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28025001287460327,0.13983704149723053,0.6875199675559998,0.5550327897071838,0.38944825530052185
2025-09-26_19-10-19-05411873,05411873,waldo_3,5.0,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27524998784065247,0.07706142961978912,-0.6407766342163086,0.5220516324043274,0.3198012411594391
2025-09-26_19-10-19-05411873,05411873,waldo_3,5.0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5404980182647705,0.11917977035045624,-0.678505003452301,0.45866522192955017,0.21887561678886414
2025-09-26_19-10-19-05411873,05411873,waldo_3,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4153749942779541,0.09810642898082733,0.9493457674980164,0.36179837584495544,0.2344219833612442
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20024000108242035,0.0634705126285553,0.09123824536800385,0.3152044117450714,0.2606393098831177
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,0,0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.34037500619888306,0.11701545864343643,0.2917666733264923,0.386409729719162,0.3534963130950928
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,2,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2502500116825104,0.3472502827644348,0.45564132928848267,0.4346449673175812,0.6973801851272583
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,3,2,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3453820049762726,0.20682039856910706,-0.38321152329444885,0.5088366270065308,0.5043250918388367
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,3,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16512799263000488,0.12474338710308075,0.1734551340341568,0.6155129671096802,0.5689863562583923
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,1,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2502500116825104,0.1225624680519104,-0.7997459173202515,0.5164153575897217,0.4968668222427368
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4153749942779541,0.14694148302078247,-0.34745708107948303,0.5841692090034485,0.3664781153202057
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15512500703334808,0.03662165626883507,-0.13298210501670837,0.6176411509513855,0.3516196608543396
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14012500643730164,0.22106067836284637,-0.8157524466514587,0.43259063363075256,0.2306894212961197
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.36037498712539673,0.20312167704105377,0.17191046476364136,0.6068022847175598,0.33513423800468445
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1652510017156601,0.24208512902259827,-0.7952365279197693,0.41310256719589233,0.18992532789707184
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21025000512599945,0.3221202492713928,0.12046987563371658,0.712427020072937,0.30894768238067627
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28025001287460327,0.1815989762544632,-0.8434631824493408,0.552348256111145,0.22319822013378143
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6256250143051147,0.06760963797569275,-0.5274856090545654,0.18252834677696228,0.42415347695350647
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,0,0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4003849923610687,0.03183227404952049,-0.5120266675949097,0.18132591247558594,0.3923439383506775
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3952530026435852,0.11884456127882004,0.43550217151641846,0.20524245500564575,0.5087571144104004
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1901250034570694,0.1666756123304367,0.5321466326713562,0.18843819200992584,0.6745834350585938
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18025000393390656,0.0916237086057663,0.576230525970459,0.16670480370521545,0.7635922431945801
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.20024999976158142,0.07971570640802383,-0.04634448513388634,0.24557709693908691,0.7520269751548767
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.33024999499320984,0.13482548296451569,-0.3751623332500458,0.29710903763771057,0.6274381875991821
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18024399876594543,0.12094572931528091,0.572631299495697,0.2697507441043854,0.7452489733695984
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2602500021457672,0.05775175243616104,0.38244467973709106,0.2905975580215454,0.7991068959236145
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23025000095367432,0.317085325717926,-0.5199332237243652,0.27075400948524475,0.48264309763908386
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2602500021457672,0.11603821069002151,-0.4864780604839325,0.27568188309669495,0.3667095899581909
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23025000095367432,0.016680823639035225,0.03055896796286106,0.29228588938713074,0.36830854415893555
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2602590024471283,0.06812068819999695,-0.4609656035900116,0.30061861872673035,0.3006994128227234
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16512499749660492,0.04569857567548752,-0.3429465889930725,0.3222624361515045,0.26045137643814087
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_2,5.0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17525100708007812,0.16326451301574707,-0.3195132315158844,0.5527275204658508,0.25206902623176575
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_2,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21025000512599945,0.12360163778066635,0.2440938651561737,0.6417335867881775,0.337831974029541
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_2,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.135111004114151,0.09176406264305115,-0.5691066980361938,0.6219673156738281,0.24822205305099487
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_3,5.0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2202489972114563,0.16555006802082062,-0.11783207952976227,0.573898434638977,0.2673755884170532
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_3,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15512500703334808,0.044863808900117874,0.08861694484949112,0.6170348525047302,0.27970486879348755
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_3,5.0,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3003750145435333,0.10338151454925537,-0.8874812722206116,0.5200453400611877,0.2439170628786087
