recording_id,participant_id,level_name,window_s,effective_window_s,total_search_time_s,label_found_waldo,label_first_hit_direct,early_fix_count,early_fix_rate,early_avg_fix_duration_s,early_total_fix_duration_s,early_saccade_length_avg,early_saccade_length_median,early_scanpath_length_total,early_scanpath_length_per_s,early_spatial_coverage_hull,early_fixation_entropy_4x4,early_transition_entropy_4x4,early_unique_grid_cells_4x4,early_mean_distance_to_target,early_min_distance_to_target,early_gaze_entropy,early_gaze_count,early_mean_saliency,early_max_saliency,early_waldo_hit_count,early_direct_hit_count,early_peripheral_hit_count,early_hit_any,level_median_search_s,label_long_search
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_3,5.0,5.0,45.269000000000005,1,0.0,18,3.6,0.22299955555555556,4.013992,0.12951723868729523,0.09741629578253522,2.201793057684019,0.4403586115368038,0.0599651379146056,1.6805563732659934,1.2084689882754904,5,0.3250612040595591,0.10381493929653414,4.427957880715188,816,0.8448612689971924,0.9146662354469299,0,0,0,0,23.496000000000002,1
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_4,5.0,1.429000000000002,1.429000000000002,1,0.0,6,4.198740377886628,0.325313,1.951878,0.10229792537012669,0.1204800642851727,0.5114896268506335,0.35793535818798655,0.00811096167532941,0.6500224216483541,0.6490224995673063,2,0.05826643919905533,0.02725416838004663,0.9793357301350274,286,0.7364136576652527,0.7757961750030518,2,0,2,1,14.481999999999985,0
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_1,5.0,5.0,17.733,1,0.0,10,2.0,0.4409351,4.409351,0.21384444948616033,0.2539812898694924,1.9246000453754428,0.38492000907508855,0.11770115347864757,1.9709505944546688,1.0566416671474372,4,0.3550523238131104,0.23524252257002504,4.041118536217995,581,0.738069474697113,0.8049439191818237,0,0,0,0,96.9905,0
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_2,5.0,5.0,17.142000000000003,1,1.0,12,2.4,0.33949941666666666,4.073993,0.2166281640253149,0.14221144931574403,2.382909804278464,0.4765819608556928,0.256113680082464,2.688721875540867,0.7272727272727273,7,0.4443893088087265,0.14108974916941794,4.517555973302853,999,0.8444531559944153,0.9519898891448975,0,0,0,0,7.363999999999997,1
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_3,5.0,5.0,23.496000000000002,1,1.0,16,3.2,0.2821400625,4.514241,0.23441639517723584,0.23361685468125407,3.5162459276585376,0.7032491855317076,0.35847691160453155,3.25,0.5836591668108979,11,0.4439564568570289,0.03954467431242877,4.649854930964733,825,0.8429850935935974,0.9022201895713806,0,0,0,0,23.496000000000002,0
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_4,5.0,2.710000000000008,2.710000000000008,1,1.0,5,1.8450184501844964,0.6956734000000001,3.4783670000000004,0.08718926198488026,0.10443034079207819,0.34875704793952106,0.12869263761605906,0.007663262255422463,0.7219280948873623,0.6887218755408672,2,0.06137426491948912,0.014357846343671078,2.5539364442204677,541,0.857833206653595,0.9165186882019043,2,2,0,1,14.481999999999985,0
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_1,5.0,5.0,60.736,1,1.0,12,2.4,0.43499983333333336,5.219998,0.05366134922638924,0.054105995740933624,0.5902748414902816,0.11805496829805633,0.021409009223545647,1.2806721295208872,0.6715292679920748,3,0.22702777600237298,0.17255975397240086,4.018540006481177,979,0.7228235602378845,0.8399297595024109,0,0,0,0,96.9905,0
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_2,5.0,5.000000000000007,13.595000000000006,1,1.0,9,1.7999999999999974,0.30918188888888887,2.782637,0.19404217597693446,0.138353679120923,1.5523374078154757,0.31046748156309467,0.11398608119764124,2.0588138903312014,0.6556390622295665,5,0.2298895377270068,0.06154109190825608,5.143592541973318,672,0.7707907557487488,0.9010913968086243,1,1,0,1,7.363999999999997,1
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_3,5.0,5.0,16.305000000000007,1,0.0,16,3.2,0.247107625,3.953722,0.2221331606040997,0.18184824711806943,3.3319974090614957,0.6663994818122991,0.18523818851967377,2.1800365325772657,1.3576351984400186,6,0.3091626586256073,0.058217833375577045,4.864135674790019,652,0.7864450216293335,0.9144059419631958,0,0,0,0,23.496000000000002,0
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_4,5.0,5.0,7.6839999999999975,1,1.0,13,2.6,0.29721238461538463,3.8637610000000002,0.14403353916063838,0.12217078174109594,1.7284024699276606,0.34568049398553213,0.060815464426121464,2.103909910282364,0.7704260414863776,5,0.2633633869755771,0.04758453869550549,4.060567829943784,852,0.6380205154418945,0.8963267803192139,0,0,0,0,14.481999999999985,0
