source_row,participant_real_id,participant_prezis_id,participant_real,participant_prezis,metoda,distanta_predictie,corect
23,2699d4a1,61db42a9,Participant 7,Participant 1,top8_semnal_individual,1.079977500829359,0
24,2699d4a1,91230d39,Participant 7,Participant 9,top8_semnal_individual,1.7903092639510918,0
25,2699d4a1,05411873,Participant 7,Participant 4,top8_semnal_individual,0.986635574021063,0
26,b4f7a1df,61db42a9,Participant 8,Participant 1,top8_semnal_individual,1.7249973608357374,0
27,b4f7a1df,c0419fea,Participant 8,Participant 6,top8_semnal_individual,1.4304467465369033,0
28,b4f7a1df,b4f7a1df,Participant 8,Participant 8,top8_semnal_individual,2.89802940376679,1
29,b4f7a1df,b4f7a1df,Participant 8,Participant 8,top8_semnal_individual,1.4715681556048479,1
30,91230d39,c0419fea,Participant 9,Participant 6,top8_semnal_individual,1.644431756607132,0
31,91230d39,91230d39,Participant 9,Participant 9,top8_semnal_individual,0.8747903869605945,1
32,91230d39,91230d39,Participant 9,Participant 9,top8_semnal_individual,2.807588837347332,1
33,91230d39,2699d4a1,Participant 9,Participant 7,top8_semnal_individual,1.0512875117272489,0
34,36589e44,61db42a9,Participant 10,Participant 1,top8_semnal_individual,1.1831273345320832,0
35,36589e44,36589e44,Participant 10,Participant 10,top8_semnal_individual,2.360815813811491,1
36,36589e44,36589e44,Participant 10,Participant 10,top8_semnal_individual,1.0031920773937302,1
37,36589e44,36589e44,Participant 10,Participant 10,top8_semnal_individual,0.9323717222655712,1
38,410567f0,95032692,Participant 11,Participant 2,top8_semnal_individual,1.2172885867323022,0
39,410567f0,95032692,Participant 11,Participant 2,top8_semnal_individual,1.403014679322981,0
40,410567f0,61db42a9,Participant 11,Participant 1,top8_semnal_individual,1.0185337811047204,0
41,410567f0,95032692,Participant 11,Participant 2,top8_semnal_individual,1.850841120453586,0
0,61db42a9,c0419fea,Participant 1,Participant 6,scoruri_de_stil,0.28905450850334935,0
1,61db42a9,95032692,Participant 1,Participant 2,scoruri_de_stil,0.5124644156621795,0
2,95032692,36589e44,Participant 2,Participant 10,scoruri_de_stil,0.8862082745724911,0
3,95032692,05411873,Participant 2,Participant 4,scoruri_de_stil,0.4719359825752088,0
6,2ec86210,2ec86210,Participant 3,Participant 3,scoruri_de_stil,0.6667999787162779,1
7,2ec86210,2ec86210,Participant 3,Participant 3,scoruri_de_stil,0.7085103693954129,1
8,2ec86210,2ec86210,Participant 3,Participant 3,scoruri_de_stil,1.2766357569830085,1
9,2ec86210,c0419fea,Participant 3,Participant 6,scoruri_de_stil,0.8340165582364402,0
10,05411873,05411873,Participant 4,Participant 4,scoruri_de_stil,0.34289217354313506,1
11,05411873,2699d4a1,Participant 4,Participant 7,scoruri_de_stil,0.28722031160699046,0
12,05411873,91230d39,Participant 4,Participant 9,scoruri_de_stil,1.7710165552260682,0
13,05411873,b4f7a1df,Participant 4,Participant 8,scoruri_de_stil,0.5904570627647596,0
14,115b6a40,b4f7a1df,Participant 5,Participant 8,scoruri_de_stil,0.29277672775075586,0
15,115b6a40,91230d39,Participant 5,Participant 9,scoruri_de_stil,0.8056155350561747,0
16,115b6a40,95032692,Participant 5,Participant 2,scoruri_de_stil,0.3571104045219424,0
17,115b6a40,115b6a40,Participant 5,Participant 5,scoruri_de_stil,0.6536609044935288,1
18,c0419fea,91230d39,Participant 6,Participant 9,scoruri_de_stil,0.5913576929454585,0
19,c0419fea,36589e44,Participant 6,Participant 10,scoruri_de_stil,0.7785205109463518,0
20,c0419fea,61db42a9,Participant 6,Participant 1,scoruri_de_stil,0.49636177224317013,0
21,c0419fea,91230d39,Participant 6,Participant 9,scoruri_de_stil,0.2812236575134763,0
22,2699d4a1,05411873,Participant 7,Participant 4,scoruri_de_stil,1.175685073657932,0
23,2699d4a1,61db42a9,Participant 7,Participant 1,scoruri_de_stil,0.46982352363792695,0
24,2699d4a1,91230d39,Participant 7,Participant 9,scoruri_de_stil,0.5545034154960619,0
25,2699d4a1,c0419fea,Participant 7,Participant 6,scoruri_de_stil,0.34325456051121334,0
26,b4f7a1df,410567f0,Participant 8,Participant 11,scoruri_de_stil,0.6248011111410212,0
27,b4f7a1df,c0419fea,Participant 8,Participant 6,scoruri_de_stil,0.26051368055867935,0
28,b4f7a1df,95032692,Participant 8,Participant 2,scoruri_de_stil,1.026367175238111,0
29,b4f7a1df,b4f7a1df,Participant 8,Participant 8,scoruri_de_stil,0.4750860406785206,1
30,91230d39,2699d4a1,Participant 9,Participant 7,scoruri_de_stil,0.7447405675748507,0
31,91230d39,91230d39,Participant 9,Participant 9,scoruri_de_stil,0.22349280575170247,1
32,91230d39,91230d39,Participant 9,Participant 9,scoruri_de_stil,1.0614989242268111,1
33,91230d39,2699d4a1,Participant 9,Participant 7,scoruri_de_stil,0.5588530944625039,0
34,36589e44,95032692,Participant 10,Participant 2,scoruri_de_stil,0.40153410672469253,0
35,36589e44,36589e44,Participant 10,Participant 10,scoruri_de_stil,1.1885219447693898,1
36,36589e44,36589e44,Participant 10,Participant 10,scoruri_de_stil,0.590325854355773,1
37,36589e44,36589e44,Participant 10,Participant 10,scoruri_de_stil,0.27265898905135616,1
38,410567f0,95032692,Participant 11,Participant 2,scoruri_de_stil,0.661641746408132,0
39,410567f0,95032692,Participant 11,Participant 2,scoruri_de_stil,0.5161262114437689,0
40,410567f0,b4f7a1df,Participant 11,Participant 8,scoruri_de_stil,0.4314143502781596,0
41,410567f0,36589e44,Participant 11,Participant 10,scoruri_de_stil,1.5374841900783658,0
0,61db42a9,c0419fea,Participant 1,Participant 6,explorare_larga,1.1535507264875664,0
1,61db42a9,36589e44,Participant 1,Participant 10,explorare_larga,0.3295537050990139,0
2,95032692,410567f0,Participant 2,Participant 11,explorare_larga,2.810190326932516,0
3,95032692,2699d4a1,Participant 2,Participant 7,explorare_larga,0.9046739228156517,0
6,2ec86210,2ec86210,Participant 3,Participant 3,explorare_larga,0.8607104280643852,1
7,2ec86210,2699d4a1,Participant 3,Participant 7,explorare_larga,1.0061435773854488,0
8,2ec86210,2ec86210,Participant 3,Participant 3,explorare_larga,1.8114127212001596,1
9,2ec86210,2699d4a1,Participant 3,Participant 7,explorare_larga,1.1665509254172295,0
10,05411873,2699d4a1,Participant 4,Participant 7,explorare_larga,0.505355311806917,0
11,05411873,2699d4a1,Participant 4,Participant 7,explorare_larga,0.4548888755224447,0
12,05411873,91230d39,Participant 4,Participant 9,explorare_larga,2.326868830689679,0
13,05411873,61db42a9,Participant 4,Participant 1,explorare_larga,0.6889983320046787,0
14,115b6a40,c0419fea,Participant 5,Participant 6,explorare_larga,0.6132301900202733,0
15,115b6a40,91230d39,Participant 5,Participant 9,explorare_larga,0.3904120590070939,0
16,115b6a40,410567f0,Participant 5,Participant 11,explorare_larga,0.6282935103405016,0
17,115b6a40,91230d39,Participant 5,Participant 9,explorare_larga,0.6332390078311979,0
18,c0419fea,91230d39,Participant 6,Participant 9,explorare_larga,1.5126584386345294,0
19,c0419fea,36589e44,Participant 6,Participant 10,explorare_larga,0.7548548775421857,0
20,c0419fea,b4f7a1df,Participant 6,Participant 8,explorare_larga,0.6875521238404788,0
21,c0419fea,05411873,Participant 6,Participant 4,explorare_larga,0.6779240118676706,0
22,2699d4a1,91230d39,Participant 7,Participant 9,explorare_larga,1.9128539138245517,0
23,2699d4a1,61db42a9,Participant 7,Participant 1,explorare_larga,0.32095424175304643,0
24,2699d4a1,05411873,Participant 7,Participant 4,explorare_larga,0.7915816361944713,0
25,2699d4a1,2699d4a1,Participant 7,Participant 7,explorare_larga,0.7145497806019354,1
26,b4f7a1df,61db42a9,Participant 8,Participant 1,explorare_larga,0.8512890591896951,0
27,b4f7a1df,b4f7a1df,Participant 8,Participant 8,explorare_larga,0.8273388694884696,1
28,b4f7a1df,b4f7a1df,Participant 8,Participant 8,explorare_larga,2.5926198530896274,1
29,b4f7a1df,115b6a40,Participant 8,Participant 5,explorare_larga,0.40764706392854927,0
30,91230d39,91230d39,Participant 9,Participant 9,explorare_larga,0.9662366970929006,1
31,91230d39,05411873,Participant 9,Participant 4,explorare_larga,0.6416254874576981,0
